No,曲名,アーティスト,演奏難易度,エチュード適性,ジャンル定番度,推奨ルート,主スキル,必須スキル,習得スキル,壁,次候補No,次候補曲名,一言説明,練習ポイント,参考動画URL,コメント,技術メモ
34,Can't Stop,Red Hot Chili Peppers,6,5,3,カッティング/ファンク,単音カッティング,カッティング・左手ミュート,単音カッティング・ファンク,不要弦ミュート,43,お勉強しといてよ,単音だけでグルーヴを出す練習。,テンポを落として、不要弦ミュートを潰す。,,,
35,Dani California,Red Hot Chili Peppers,6,5,3,カッティング/ファンク,コードワーク,コードワーク・ペンタ,コードワーク・アクセント・ギターソロ,ソロの表現,58,Lunch Time,装飾・リズム・音価で曲を動かす練習。,テンポを落として、ソロの表現を潰す。,,,
36,テレキャスター・ストライプ,ポルカドットスティングレイ,5,5,4,邦ロック定番,カッティング,コードカッティング・左手ミュート,カッティング・邦ロックアレンジ,カッティングのキレ,43,お勉強しといてよ,カッティング練習として優秀。,左手ミュートと右手の振りを分離して練習する。,,,
37,Pride and Joy,Stevie Ray Vaughan,7,5,3,ブルース,ブルースフレーズ,ペンタ・シャッフル,ブルースフレーズ・右手アクセント・左手ミュート,シャッフルとミュート,90,Catfish Blues,ロックギターの語彙を増やす入口。,テンポを落として、シャッフルとミュートを潰す。,,,
38,Johnny B. Goode,Chuck Berry,5,5,4,ブルース,ブルースフレーズ,ペンタトニック,ブルースフレーズ・ロックンロール,定番フレーズの粒,32,Purple Haze,ロックギターの語彙を増やす入口。,テンポを落として、定番フレーズの粒を潰す。,,,
39,Don't Stop Me Now,Queen,6,5,4,洋楽ロック,ギターソロ,単音リフ・チョーキング,ギターソロ・メロディックリード,ソロの歌わせ方,,Green-Tinted Sixties Mind,曲の中で主役になる練習。,テンポを落として、ソロの歌わせ方を潰す。,,,
40,夜に駆ける,YOASOBI,5,5,3,R&B/フュージョン,コードワーク,コードチェンジ・カッティング,コードワーク・コードカッティング,テンポとコード移動,44,CQCQ,装飾・リズム・音価で曲を動かす練習。,テンポを落として、テンポとコード移動を潰す。,,,
41,カゲロウデイズ,じん,5,5,4,アニソン/ボカロ,コードカッティング,コードワーク・16ビート,コードカッティング・コードワーク,キメの多さ,42,サマータイムレコード,左手ミュートとアクセントでリズムを作る。,テンポを落として、キメの多さを潰す。,,,
42,サマータイムレコード,じん,5,4,4,アニソン/ボカロ,アルペジオ,ローコード・開放弦,開放弦アルペジオ,音の分離,45,バッド・ダンス・ホール,コードを分散して歌わせる練習。,テンポを落として、音の分離を潰す。,,,
43,お勉強しといてよ,ずっと真夜中でいいのに。,6,5,3,カッティング/ファンク,単音カッティング,カッティング・単音リフ,単音カッティングリフ,テンポとミュート,35,Dani California,単音だけでグルーヴを出す練習。,テンポを落として、テンポとミュートを潰す。,,,
44,CQCQ,神様、僕は気づいてしまった,5,4,3,R&B/フュージョン,付点8分ディレイ,アクセント・空間系,付点8分ディレイ・リズム構築,ディレイとの同期,56,本音,ディレイをリズムの一部として扱う練習。,テンポを落として、ディレイとの同期を潰す。,,,
45,バッド・ダンス・ホール,カラスヤサボウ,5,5,4,アニソン/ボカロ,コードカッティング,コードワーク・16ビート,コードカッティングリフ,テンポとキメ,46,天ノ弱,左手ミュートとアクセントでリズムを作る。,テンポを落として、テンポとキメを潰す。,,,
46,天ノ弱,164,6,4,4,アニソン/ボカロ,オクターブ奏法,低音リフ・単音リフ,低音単音リフ・オクターブ奏法,移動量とテンポ,66,ロストワンの号哭,オクターブ音程でリフを太く聞かせる練習。,テンポを落として、移動量とテンポを潰す。,,,
47,Day Tripper,The Beatles,2,4,4,洋楽ロック,単音リフ,ピッキング,単音リフ・ロックリフ,リフのノリ,8,Back In Black,メロディックなリフの入口。,テンポを落として、リフのノリを潰す。,,,
48,Killing In The Name,Rage Against The Machine,6,4,3,ラウド,ドロップD,ブリッジミュート・深い歪み,ドロップD・深い歪み・ブリッジミュート,重さとノイズ処理,50,R,低音弦を使った重いリフの入口。,テンポを落として、重さとノイズ処理を潰す。,,,
49,ハナマル☆センセイション,Little Non,5,5,3,ラウド,ブリッジミュート,深い歪み・パワーコード,深い歪み・ブリッジミュート,高速刻み,48,Killing In The Name,右手の位置と力加減で音の長さをコントロールする。,テンポを落として、高速刻みを潰す。,,,
50,R,Roselia,6,4,3,ラウド,ドロップD,ブリッジミュート・深い歪み,ドロップD・深い歪み・ブリッジミュート,タイトな刻み,,,低音弦を使った重いリフの入口。,テンポを落として、タイトな刻みを潰す。,,,
51,警告,椎名林檎,7,4,3,東京事変/オルタナ,オルタナリフ,単音リフ・コードワーク,オルタナリフ・バンドアンサンブル,キメとアンサンブル,69,群青日和,変則的なリフやキメで曲を引っ張る練習。,テンポを落として、キメとアンサンブルを潰す。,,,
52,宝島,T-SQUARE,8,5,3,R&B/フュージョン,フュージョン,高速フレーズ・アンサンブル,フュージョン・高速単音・オクターブ,音価とアンサンブル,57,Cosmic Sans,フュージョンを中心に伸ばす課題曲。,テンポを落として、音価とアンサンブルを潰す。,,,
53,BWLAUTE BEIRRED,要確認,7,3,1,未分類,要分類,要確認,要分類,曲名/内容確認,,,ぬきたし2 OPとして登録していた課題曲。,テンポを落として、要耳コピ/分類確認を潰す。,,,
54,デリヘル呼んだら君がきた,ナナホシ管弦楽団,7,5,4,アニソン/ボカロ,高速フレーズ,単音リフ・ギターソロ,高速リフ・ギターソロ,テンポとソロ,,,速い単音を粒立ちよく弾く練習。,テンポを落として、テンポとソロを潰す。,,,
55,カレーのちライス,放課後ティータイム,5,4,4,けいおん,コードワーク,パワーコード・ローコード,パワーコード・コードワーク,バンドでのまとまり,89,First Good Bye,装飾・リズム・音価で曲を動かす練習。,テンポを落として、バンドでのまとまりを潰す。,,,
56,本音,要確認,7,4,3,R&B/フュージョン,アンサンブル,コードワーク,コードワーク・バンドアンサンブル,ボーカルとの絡み,95,If I Ain't Got You,ドラム・ベース・ボーカルとの噛み合わせを見る練習。,テンポを落として、ボーカルとの絡みを潰す。,,,
57,Cosmic Sans,Cory Wong,8,4,3,R&B/フュージョン,即興演奏,コードワーク・セッション,ジャズロック・アドリブ,即興性,,,即興演奏を中心に伸ばす課題曲。,テンポを落として、即興性を潰す。,,,
58,Lunch Time,要確認,8,5,3,カッティング/ファンク,コードカッティング,カッティング・コードワーク,フュージョンカッティング,グルーヴとコード感,,,左手ミュートとアクセントでリズムを作る。,テンポを落として、グルーヴとコード感を潰す。,,,
59,白玉楼階段の幻闘,東京アクティブNEETs,8,5,3,R&B/フュージョン,高速フレーズ,単音リフ・ピッキング,高速フレーズ・テクニカルリード,テンポと運指,105,Säkkijärven Polkka,速い単音を粒立ちよく弾く練習。,テンポを落として、テンポと運指を潰す。,,,
60,Green-Tinted Sixies Mind,MR. BIG,8,4,4,洋楽ロック,コードワーク,コードワーク・リード,ジャズロック・コードワーク,コードとメロの両立,65,"Daddy, Brother, Lover, Little Boy",装飾・リズム・音価で曲を動かす練習。,テンポを落として、コードとメロの両立を潰す。,,,
61,ときめきシュガー,放課後ティータイム,3,4,4,けいおん,コードワーク,パワーコード・ローコード,コードワーク・ポップスバッキング,曲全体の安定,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、曲全体の安定を潰す。,,,
62,天使にふれたよ！,放課後ティータイム,3,4,4,けいおん,コードワーク,ローコード,コードワーク・アルペジオ,音量バランス,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、音量バランスを潰す。,,,
63,A Hard Day's Night,The Beatles,2,4,4,洋楽ロック,ローコード,ローコード,ローコード・コードワーク,コードの響き,47,Day Tripper,開放弦を含むコードでロックの質感を作る。,テンポを落として、コードの響きを潰す。,,,
64,会心の一撃リフ,RADWIMPS,3,4,4,邦ロック定番,単音リフ,ピッキング,単音リフ・邦ロックリフ,リズムのキレ,,,メロディックなリフの入口。,テンポを落として、リズムのキレを潰す。,,,
65,"Daddy, Brother, Lover, Little Boy",MR. BIG,8,5,4,洋楽ロック,高速フレーズ,オルタネイト・ハンマリング,高速リフ・テクニカルリード,テンポと精度,,,速い単音を粒立ちよく弾く練習。,テンポを落として、テンポと精度を潰す。,,,
66,ロストワンの号哭,Neru,6,5,4,アニソン/ボカロ,高速フレーズ,単音リフ・コードカッティング,高速リフ・コードワーク,テンポとキメ,54,デリヘル呼んだら君がきた,速い単音を粒立ちよく弾く練習。,テンポを落として、テンポとキメを潰す。,,,
67,少女S,SCANDAL,3,3,4,邦ロック定番,アンサンブル,パワーコード,パワーコード・バンド入門,初心者バンドで合わせる,,,ドラム・ベース・ボーカルとの噛み合わせを見る練習。,テンポを落として、初心者バンドで合わせるを潰す。,,,
68,紅蓮華,LiSA,5,4,4,アニソン/ボカロ,コードワーク,パワーコード・単音リフ,アニソンバッキング・キメ,キメの精度,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、キメの精度を潰す。,,,
69,群青日和,東京事変,6,5,3,東京事変/オルタナ,コードワーク,コードカッティング,コードワーク・カッティング,コード感と疾走感,72,閃光少女,装飾・リズム・音価で曲を動かす練習。,テンポを落として、コード感と疾走感を潰す。,,,
70,NIPPON,椎名林檎,6,4,3,東京事変/オルタナ,オルタナリフ,コードワーク・単音リフ,オルタナリフ・コードワーク,テンポとアンサンブル,,,変則的なリフやキメで曲を引っ張る練習。,テンポを落として、テンポとアンサンブルを潰す。,,,
71,じょいふる,いきものがかり,4,4,4,邦ロック定番,コードワーク,パワーコード・ローコード,ポップスバッキング・アンサンブル,テンション維持,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、テンション維持を潰す。,,,
72,閃光少女,東京事変,6,5,3,東京事変/オルタナ,コードワーク,コードワーク・ギターソロ,コードワーク・ギターソロ,キメと展開,78,自由へ道連れ,装飾・リズム・音価で曲を動かす練習。,テンポを落として、キメと展開を潰す。,,,
73,東京,PEDRO,5,4,3,東京事変/オルタナ,オルタナリフ,単音リフ,オルタナリフ・シンプルな強度,音作りとノリ,,,変則的なリフやキメで曲を引っ張る練習。,テンポを落として、音作りとノリを潰す。,,,
74,TATTOOあり,NUMBER GIRL,6,5,3,東京事変/オルタナ,オルタナリフ,カッティング・単音リフ,オルタナリフ・カッティング,鋭いリズム,,,変則的なリフやキメで曲を引っ張る練習。,テンポを落として、鋭いリズムを潰す。,,,
75,Honnoji,ZAZEN BOYS,8,4,3,東京事変/オルタナ,アンサンブル,オルタナリフ・コードワーク,変則リフ・アンサンブル,構成とキメ,,,ドラム・ベース・ボーカルとの噛み合わせを見る練習。,テンポを落として、構成とキメを潰す。,,,
76,笑ってたいんだ,いきものがかり,4,4,4,邦ロック定番,コードワーク,コードチェンジ,ポップスバッキング・バンドアンサンブル,歌を支える,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、歌を支えるを潰す。,,,
77,ホットミルク,いきものがかり / 要確認,4,4,4,邦ロック定番,コードワーク,コードチェンジ,ポップスバッキング・コードワーク,音量バランス,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、音量バランスを潰す。,,,
78,自由へ道連れ,椎名林檎,6,5,3,東京事変/オルタナ,コードワーク,単音リフ・カッティング,コードワーク・リフ,事変系のキメ,93,修羅場,装飾・リズム・音価で曲を動かす練習。,テンポを落として、事変系のキメを潰す。,,,
79,ダイヤモンド,要確認,4,4,4,邦ロック定番,コードワーク,ローコード,ポップスバッキング,歌伴の安定,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、歌伴の安定を潰す。,,,
80,colors,ハンブレッダーズ,5,4,4,邦ロック定番,コードワーク,パワーコード・コードチェンジ,パワーポップバッキング,勢いと安定,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、勢いと安定を潰す。,,,
81,ワールドイズマイン,ハンブレッダーズ,5,4,4,邦ロック定番,コードワーク,パワーコード・コードチェンジ,パワーポップバッキング,疾走感,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、疾走感を潰す。,,,
82,ファイナルボーイフレンド,ハンブレッダーズ,5,4,4,邦ロック定番,コードワーク,パワーコード・コードチェンジ,パワーポップバッキング,リズムの密度,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、リズムの密度を潰す。,,,
83,再生,ハンブレッダーズ,5,4,4,邦ロック定番,コードワーク,パワーコード・コードチェンジ,パワーポップバッキング,曲の展開,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、曲の展開を潰す。,,,
84,タイムマシンにお願い,サディスティック・ミカ・バンド,5,5,1,未分類,コードワーク,ローコード・カッティング,ファンク/ロックンロールバッキング,ノリとアンサンブル,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、ノリとアンサンブルを潰す。,,,
85,キャンディハウス,THEE MICHELLE GUN ELEPHANT,5,4,1,未分類,オルタナリフ,単音リフ・コードワーク,ガレージロックリフ,荒さとキレ,,,変則的なリフやキメで曲を引っ張る練習。,テンポを落として、荒さとキレを潰す。,,,
86,ぶきっちょ,要確認,5,4,1,未分類,コードワーク,コードチェンジ,コードワーク・アンサンブル,曲展開,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、曲展開を潰す。,,,
87,白く巨大で,要確認,6,4,1,未分類,オルタナリフ,単音リフ・アンサンブル,オルタナリフ・アンサンブル,空間と音量,,,変則的なリフやキメで曲を引っ張る練習。,テンポを落として、空間と音量を潰す。,,,
88,Planet Home,要確認,6,4,1,未分類,コードワーク,コードワーク・アンサンブル,コードワーク・アンサンブル,曲調の作り方,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、曲調の作り方を潰す。,,,
89,First Good Bye,涼宮ハルヒ（平野綾）,5,4,4,アニソン/ボカロ,コードワーク,コードチェンジ,コードワーク・ポップスバッキング,歌メロとの絡み,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、歌メロとの絡みを潰す。,,,
90,Catfish Blues,ブルース・スタンダード,7,5,3,ブルース,ブルースフレーズ,ペンタ・シャッフル,ブルースフレーズ・アドリブ,間とニュアンス,31,Little Wing,ロックギターの語彙を増やす入口。,テンポを落として、間とニュアンスを潰す。,,,
91,歌舞伎,東京事変,7,5,3,東京事変/オルタナ,コードワーク,コードカッティング・アンサンブル,東京事変系コードワーク・キメ,キメの多さ,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、キメの多さを潰す。,,,
92,怒りをくれよ,GLIM SPANKY,6,4,4,邦ロック定番,アンサンブル,コードワーク・歪み,ロックバッキング・アンサンブル,勢いと同期,,,ドラム・ベース・ボーカルとの噛み合わせを見る練習。,テンポを落として、勢いと同期を潰す。,,,
93,修羅場,東京事変,7,5,3,東京事変/オルタナ,コードワーク,コードワーク・カッティング,東京事変系コードワーク,コード感とリズム,99,透明人間,装飾・リズム・音価で曲を動かす練習。,テンポを落として、コード感とリズムを潰す。,,,
94,Allright,要確認,6,4,4,邦ロック定番,アンサンブル,コードワーク,ロックバッキング・アンサンブル,バンドの一体感,,,ドラム・ベース・ボーカルとの噛み合わせを見る練習。,テンポを落として、バンドの一体感を潰す。,,,
95,If I Ain't Got You,Alicia Keys,7,5,3,R&B/フュージョン,コードワーク,バレーコード・テンション,R&Bコードワーク・歌伴,歌を邪魔しない,97,Just the Two of Us,装飾・リズム・音価で曲を動かす練習。,テンポを落として、歌を邪魔しないを潰す。,,,
96,ボーイフレンド,aiko,5,4,4,邦ロック定番,コードワーク,コードチェンジ,ポップスバッキング・歌伴,音量バランス,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、音量バランスを潰す。,,,
97,Just the Two of Us,Grover Washington Jr. feat. Bill Withers,8,5,3,R&B/フュージョン,コードワーク,テンションコード・グルーヴ,R&B/ジャズコードワーク,コードの響き,100,Isn't She Lovely,装飾・リズム・音価で曲を動かす練習。,テンポを落として、コードの響きを潰す。,,,
98,三日月,絢香,5,4,4,邦ロック定番,コードワーク,ローコード・アルペジオ,バラード伴奏,音量と間,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、音量と間を潰す。,,,
99,透明人間,東京事変,7,5,3,東京事変/オルタナ,コードカッティング,コードワーク・アンサンブル,東京事変系コードワーク・カッティング,キメとグルーヴ,101,OSCA,左手ミュートとアクセントでリズムを作る。,テンポを落して、キメとグルーヴを潰す。,,,
100,Isn't She Lovely,Stevie Wonder,8,5,3,R&B/フュージョン,セッション,コードワーク・ブルース,ジャズ/R&Bコードワーク・セッション,コード進行上の対応,52,宝島,セッションを中心に伸ばす課題曲。,テンポを落として、コード進行上の対応を潰す。,,,
101,OSCA,東京事変,7,4,3,東京事変/オルタナ,オルタナリフ,コードワーク・アンサンブル,東京事変系リフ・アンサンブル,キメと音作り,102,電波通信,変則的なリフやキメで曲を引っ張る練習。,テンポを落として、キメと音作りを潰す。,,,
102,電波通信,東京事変,8,5,3,東京事変/オルタナ,コードワーク,コードカッティング・アンサンブル,東京事変系コードワーク・高速キメ,情報量の多さ,75,Honnoji,装飾・リズム・音価で曲を動かす練習。,テンポを落として、情報量の多さを潰す。,,,
103,落日,東京事変,6,4,3,東京事変/オルタナ,コードワーク,コードチェンジ・アルペジオ,バラードコードワーク,間と音量,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、間と音量を潰す。,,,
104,Lost My Music,涼宮ハルヒ（平野綾）,5,4,4,アニソン/ボカロ,コードワーク,パワーコード・単音リフ,アニソンロックバッキング,曲全体の勢い,,,装飾・リズム・音価で曲を動かす練習。,テンポを落として、曲全体の勢いを潰す。,,,
105,Säkkijärven Polkka,フィンランド民謡 / 要確認,8,5,3,R&B/フュージョン,高速フレーズ,単音リフ・オルタネイト,高速メロディ・民族音楽系フレーズ,持久力と粒立ち,,,速い単音を粒立ちよく弾く練習。,テンポを落として、持久力と粒立ちを潰す。,,,
106,明日も,SHISHAMO,2,3,5,邦ロック定番,コードストローク,コードチェンジ・8ビート,コードストローク・バンド入門,ストロークの安定,120,チェリボム,新人ライブ適性が高い定番邦ロック。,右手のストロークを安定させ、歌を支える音量バランスを意識する。,,,
107,洗濯機と君とラヂオ,マカロニえんぴつ,4,4,4,邦ロック定番,ブリッジミュート,パワーコード・8ビート,ブリッジミュート・コードカッティング,ミュートとカッティングの切替,112,高嶺の花子さん,まかえん枠として使いやすいポップロック。,ミュートの粒を揃えつつ、コードカッティング部分でリズムを前に出す。,,,
108,HE IS MINE,クリープハイプ,4,4,4,邦ロック定番,単音カッティング,単音リフ・左手ミュート,リード・単音カッティング,単音カッティングのキレ,36,テレキャスター・ストライプ,盛り上がりやすい邦ロック曲。,単音のキレと休符を意識して、歌のテンションを邪魔しない。,,,
109,サイハテアイニ,RADWIMPS,4,3,4,邦ロック定番,コードストローク,コードチェンジ・単音リフ,コードストローク・リード入門,リードの難易度,118,天体観測,RADWIMPS枠としてちょうどいい邦ロック曲。,バッキングを安定させ、リードはテンポを落として粒を揃える。,,,
110,青い春,SUPER BEAVER,4,4,4,邦ロック定番,オクターブ奏法,パワーコード・単音リフ,オクターブ奏法・コードストローク,オクターブ移動の安定,116,Re:Re:,男声邦ロック枠として使いやすい。,オクターブ移動時のミュートと、サビのストロークの勢いを両立する。,,,
111,花束,back number,1,2,5,邦ロック定番,コードストローク,ローコード,コードストローク・歌伴,コードチェンジの安定,119,若者のすべて,定番J-pop寄りの歌もの。初心者でもかなり取り組みやすい。,コードチェンジと歌を支える音量を安定させる。,,,
